ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
NGA,Nigeria,rural,Drinking water,2012,19.51841,17879249.7047,Surface water
NGA,Nigeria,urban,Drinking water,2012,3.35897,2542585.98061,Surface water
NGA,Nigeria,rural,Drinking water,2012,23.64449,21658813.67274,Unimproved
NGA,Nigeria,urban,Drinking water,2012,5.42289,4104877.22548,Unimproved
NGA,Nigeria,rural,Drinking water,2013,35.89598,33234314.83557,Basic service
NGA,Nigeria,urban,Drinking water,2013,59.45153,47111910.31294,Basic service
NGA,Nigeria,rural,Drinking water,2013,7.54603,6986493.42177,Limited service
NGA,Nigeria,urban,Drinking water,2013,7.67727,6083797.66604,Limited service
NGA,Nigeria,rural,Drinking water,2013,14.75044,13656707.17724,Safely managed service
NGA,Nigeria,urban,Drinking water,2013,24.35631,19300972.4804,Safely managed service
NGA,Nigeria,rural,Drinking water,2013,18.20994,16859683.63951,Surface water
NGA,Nigeria,urban,Drinking water,2013,3.05382,2419979.3808,Surface water
NGA,Nigeria,rural,Drinking water,2013,23.59761,21847862.1442,Unimproved
NGA,Nigeria,urban,Drinking water,2013,5.46106,4327574.94153,Unimproved
NGA,Nigeria,rural,Drinking water,2014,36.88235,34505585.66496,Basic service
NGA,Nigeria,urban,Drinking water,2014,60.28944,49982756.67693,Basic service
NGA,Nigeria,rural,Drinking water,2014,7.6684,7174238.80298,Limited service
NGA,Nigeria,urban,Drinking water,2014,7.03527,5832569.78881,Limited service
NGA,Nigeria,rural,Drinking water,2014,14.99705,14030616.17451,Safely managed service
NGA,Nigeria,urban,Drinking water,2014,24.42739,20251447.36349,Safely managed service
NGA,Nigeria,rural,Drinking water,2014,16.90146,15812304.78775,Surface water
NGA,Nigeria,urban,Drinking water,2014,2.74867,2278779.19325,Surface water
NGA,Nigeria,rural,Drinking water,2014,23.55073,22033083.08551,Unimproved
NGA,Nigeria,urban,Drinking water,2014,5.49923,4559114.46182,Unimproved
NGA,Nigeria,rural,Drinking water,2015,37.87556,35795439.31301,Basic service
NGA,Nigeria,urban,Drinking water,2015,61.13121,52984695.79902,Basic service
NGA,Nigeria,rural,Drinking water,2015,7.78835,7360616.57396,Limited service
NGA,Nigeria,urban,Drinking water,2015,6.3894,5537935.1529,Limited service
NGA,Nigeria,rural,Drinking water,2015,15.23925,14402310.77275,Safely managed service
NGA,Nigeria,urban,Drinking water,2015,24.49847,21233737.31448,Safely managed service
NGA,Nigeria,rural,Drinking water,2015,15.59299,14736624.75929,Surface water
NGA,Nigeria,urban,Drinking water,2015,2.44352,2117893.67876,Surface water
NGA,Nigeria,rural,Drinking water,2015,23.50385,22213027.6193,Unimproved
NGA,Nigeria,urban,Drinking water,2015,5.53739,4799463.01655,Unimproved
NGA,Nigeria,rural,Drinking water,2016,38.87561,37104558.57418,Basic service
NGA,Nigeria,urban,Drinking water,2016,61.97685,56117146.39925,Basic service
NGA,Nigeria,rural,Drinking water,2016,7.90587,7545702.1492,Limited service
NGA,Nigeria,urban,Drinking water,2016,5.73967,5197003.47008,Limited service
NGA,Nigeria,rural,Drinking water,2016,15.47703,14771944.31436,Safely managed service
NGA,Nigeria,urban,Drinking water,2016,24.56955,22246582.74601,Safely managed service
NGA,Nigeria,rural,Drinking water,2016,14.28451,13633755.22175,Surface water
NGA,Nigeria,urban,Drinking water,2016,2.13837,1936198.64676,Surface water
NGA,Nigeria,rural,Drinking water,2016,23.45698,22388349.90208,Unimproved
NGA,Nigeria,urban,Drinking water,2016,5.57556,5048406.57632,Unimproved
NGA,Nigeria,rural,Drinking water,2017,39.88251,38431310.3735,Basic service
NGA,Nigeria,urban,Drinking water,2017,62.82635,59386610.13276,Basic service
NGA,Nigeria,rural,Drinking water,2017,8.02096,7729100.06849,Limited service
NGA,Nigeria,urban,Drinking water,2017,5.08607,4807605.97994,Limited service
NGA,Nigeria,rural,Drinking water,2017,15.7104,15138748.31969,Safely managed service
NGA,Nigeria,urban,Drinking water,2017,24.64063,23291555.76014,Safely managed service
NGA,Nigeria,rural,Drinking water,2017,12.97604,12503881.62525,Surface water
NGA,Nigeria,urban,Drinking water,2017,1.83323,1732855.94661,Surface water
NGA,Nigeria,rural,Drinking water,2017,23.4101,22558280.8899,Unimproved
NGA,Nigeria,urban,Drinking water,2017,5.61372,5306370.90373,Unimproved
